Postal Code, Amenity Count, Shop Count, Tourism Count
6224DC, 187, 81, 31
6224DB, 191, 75, 24
6224DD, 194, 75, 24
6228LC, 107, 21, 11
6228LB, 111, 21, 11
6224DA, 191, 75, 24
6228LE, 104, 21, 11
6228LD, 107, 21, 11
6228LA, 110, 21, 11
6224CV, 193, 86, 43
6224CW, 212, 93, 40
6224CR, 125, 52, 29
6224CT, 193, 84, 42
6224CS, 192, 81, 42
6224CM, 165, 80, 32
6224CP, 201, 87, 34
6224CE, 425, 390, 86
6224CG, 445, 401, 84
6224CB, 425, 388, 86
6224CA, 412, 381, 84
6224CD, 387, 329, 78
6224CC, 361, 321, 74
6219PE, 425, 483, 85
6228KB, 28, 12, 2
6228KA, 28, 15, 2
6228KD, 30, 16, 2
6228KC, 30, 16, 2
6224BX, 420, 384, 84
6224BZ, 409, 383, 82
6224BT, 430, 421, 84
6224BW, 330, 319, 76
6224BP, 415, 410, 83
6224BS, 407, 381, 80
6224BR, 352, 346, 70
6228JV, 33, 16, 2
6224BM, 423, 425, 84
6224BL, 429, 451, 85
6228JP, 36, 16, 3
6228JS, 37, 16, 3
6228JR, 38, 16, 3
6228JM, 38, 16, 3
6215GK, 42, 9, 2
6224BH, 233, 124, 45
6224BK, 403, 401, 80
6224BJ, 235, 138, 47
6228JN, 38, 16, 3
6215GH, 41, 9, 2
6224BE, 303, 297, 59
6215GG, 41, 9, 2
6224BD, 253, 192, 46
6215GJ, 41, 9, 2
6224BG, 215, 100, 42
6228JK, 40, 16, 3
6215GD, 40, 9, 2
6224BA, 244, 155, 46
6228JE, 44, 16, 4
6215GC, 41, 9, 2
6228JD, 41, 16, 3
6224BC, 256, 230, 51
6228JG, 41, 16, 3
6215GE, 41, 9, 2
6224BB, 277, 272, 54
6228JA, 40, 16, 3
6215GB, 41, 9, 2
6228JC, 41, 15, 3
6215GA, 41, 9, 2
6228JB, 39, 16, 3
6224AX, 179, 78, 37
6224AW, 174, 76, 37
6224AZ, 200, 87, 41
6224AT, 209, 100, 39
6224AS, 252, 127, 45
6224AV, 181, 86, 38
6219NW, 77, 35, 27
6224AP, 287, 244, 50
6224AR, 288, 233, 49
6224AL, 341, 303, 61
6224AK, 454, 427, 86
6224AN, 317, 253, 55
6224AM, 359, 344, 72
6224AH, 473, 485, 95
6219NN, 37, 19, 13
6224AG, 440, 483, 88
6224AJ, 474, 458, 91
6219NP, 10, 20, 2
6219NK, 6, 0, 2
6224AD, 209, 102, 42
6224AC, 131, 47, 33
6219NM, 55, 20, 24
6219NL, 6, 0, 2
6224AE, 357, 337, 64
6219NG, 6, 0, 2
6219NB, 23, 9, 6
6219NE, 60, 13, 20
6219ND, 6, 0, 2
6215EZ, 39, 8, 1
6219NA, 9, 5, 3
6215EV, 34, 7, 1
6228HW, 39, 16, 3
6228HV, 61, 17, 7
6215EX, 39, 9, 2
6215EW, 38, 8, 1
6228HX, 48, 17, 6
6215ER, 40, 9, 2
6215ET, 41, 9, 2
6215ES, 41, 9, 2
6228HT, 66, 17, 6
6215EN, 40, 9, 1
6215EM, 40, 9, 1
6215EP, 41, 9, 2
6215EJ, 39, 9, 1
6228HK, 74, 15, 7
6228HJ, 70, 15, 7
6215EL, 40, 9, 1
6228HM, 70, 15, 6
6215EK, 41, 9, 2
6228HL, 56, 15, 5
6228HG, 56, 15, 5
6215EE, 40, 9, 1
6215EH, 41, 9, 1
6215EG, 35, 7, 1
6228HH, 50, 15, 4
6215EB, 35, 9, 1
6228HC, 77, 17, 9
6215EA, 35, 7, 1
6228HB, 80, 18, 9
6215ED, 41, 9, 1
6215EC, 40, 9, 1
6228HA, 76, 17, 7
6228GZ, 23, 11, 2
6228GV, 25, 11, 2
6228GX, 23, 11, 2
6228GW, 30, 16, 2
6228GR, 34, 16, 2
6228GT, 28, 10, 2
6228GS, 25, 11, 2
6228GN, 27, 15, 2
6228GM, 24, 12, 2
6228GP, 20, 9, 2
6228GJ, 30, 16, 2
6228GL, 37, 16, 4
6228GK, 37, 16, 3
6228GE, 40, 16, 3
6228GH, 30, 16, 2
6228GG, 34, 16, 2
6228GB, 32, 16, 2
6228GA, 38, 16, 3
6228GD, 34, 16, 3
6228GC, 33, 16, 2
6215BW, 38, 8, 1
6228EX, 75, 15, 10
6215BV, 40, 9, 2
6228EW, 86, 18, 11
6215BX, 40, 9, 2
6215BS, 41, 9, 2
6228ET, 78, 16, 11
6215BR, 41, 9, 2
6228ES, 72, 15, 8
6228EV, 84, 17, 11
6215BT, 38, 9, 1
6228EP, 91, 18, 11
6215BN, 41, 9, 2
6228ER, 90, 17, 10
6215BP, 41, 9, 2
6215BK, 41, 9, 2
6228EL, 92, 16, 10
6215BJ, 42, 9, 2
6228EK, 108, 21, 11
6215BM, 41, 9, 2
6228EN, 89, 16, 10
6215BL, 41, 9, 2
6228EM, 94, 17, 10
6215BG, 42, 9, 2
6228EH, 98, 17, 11
6228EG, 96, 16, 10
6228EJ, 96, 16, 10
6215BH, 42, 9, 2
6215BC, 42, 9, 2
6228ED, 84, 15, 10
6215BB, 42, 9, 2
6228EC, 91, 14, 10
6215BE, 42, 9, 2
6215BD, 42, 9, 2
6228EE, 88, 15, 10
6215BA, 42, 9, 2
6228EB, 75, 17, 6
6228EA, 81, 16, 11
6228DP, 39, 15, 3
6215AJ, 40, 9, 2
6228DK, 42, 15, 3
6228DJ, 42, 15, 3
6228DM, 55, 15, 5
6215AK, 41, 9, 2
6228DL, 45, 15, 3
6215AE, 29, 6, 2
6215AH, 40, 9, 2
6215AG, 35, 6, 2
6228DH, 41, 14, 3
6215AD, 40, 9, 2
6215AC, 42, 9, 3
6224LK, 364, 158, 73
6224LJ, 279, 114, 44
6224LM, 334, 115, 66
6224LL, 325, 110, 57
6224LG, 387, 180, 80
6224LH, 329, 108, 62
6224LC, 312, 120, 45
6224LB, 338, 101, 66
6224LE, 408, 237, 83
6224LD, 285, 118, 44
6224LA, 393, 221, 80
6224KZ, 300, 98, 58
6211HX, 687, 529, 155
6211HZ, 688, 528, 152
6224KV, 264, 101, 45
6211HT, 688, 528, 154
6215PX, 43, 9, 2
6211HW, 687, 529, 155
6224KX, 300, 98, 58
6211HV, 692, 528, 153
6215PZ, 41, 9, 2
6224KW, 300, 98, 58
6224KR, 265, 119, 41
6228SV, 55, 12, 4
6211HP, 690, 528, 154
6215PT, 43, 10, 2
6215PW, 43, 10, 2
6224KT, 258, 113, 42
6228SX, 34, 11, 2
6211HR, 688, 528, 154
6215PV, 43, 10, 2
6224KS, 263, 117, 42
6228SW, 34, 9, 3
6211HM, 682, 526, 152
6224KN, 288, 121, 43
6228SR, 86, 37, 5
6211HL, 685, 523, 153
6215PP, 43, 10, 2
6224KM, 288, 118, 43
6215PS, 43, 10, 2
6224KP, 271, 121, 41
6228ST, 48, 14, 2
6211HN, 688, 528, 152
6215PR, 43, 10, 2
6215PM, 43, 11, 2
6224KJ, 293, 108, 46
6228SN, 82, 27, 5
6211HH, 679, 522, 152
6215PL, 44, 15, 2
6228SM, 53, 13, 3
6211HK, 680, 522, 152
6224KL, 280, 118, 43
6228SP, 78, 28, 5
6215PN, 43, 11, 2
6224KK, 283, 112, 44
6211HE, 689, 530, 155
6228SJ, 64, 24, 4
6211HD, 688, 530, 154
6215PH, 43, 15, 2
6224KE, 319, 104, 64
6215PK, 44, 20, 3
6224KH, 305, 105, 56
6215PJ, 44, 17, 3
6224KG, 314, 102, 62
6211HA, 687, 531, 156
6224KB, 286, 118, 44
6224KA, 294, 120, 43
6228SE, 43, 6, 2
6211HC, 685, 532, 155
6224KD, 317, 109, 64
6228SH, 63, 25, 4
