postal_Code_start,postal_code_end,time,memory_used(MB)
6216AT,6228JC,1465,134
6216AT,6212GN,1168,40
6216AT,6211BH,606,37
6216AT,6227XV,839,39
6216AT,6217AT,359,38
6216AT,6229HH,530,39
6216AT,6225GT,803,37
6216AT,6228SJ,698,34
6216AT,6226HN,590,39
6216AT,6216PT,967,33
6216AT,6215TX,710,40
6216AT,6225KM,941,39
6216AT,6217HC,542,38
6216AT,6215GG,669,35
6216AT,6211XK,543,38
6216AT,6225GM,858,102
6216AT,6217XC,409,38
6216AT,6224CD,730,34
6216AT,6211CB,611,38
6216AT,6225BH,707,34
6216AT,6224KW,536,34
6216AT,6226BN,555,38
6216AT,6221GD,490,34
6216AT,6222TW,475,36
6216AT,6226HL,498,39
6216AT,6211JV,474,37
6216AT,6225DD,912,98
6216AT,6217KG,556,37
6216AT,6221CL,666,132
6216AT,6211LN,429,36
6216AT,6211LV,524,39
6216AT,6223CH,702,39
6216AT,6215RH,672,40
6216AT,6221TS,432,33
6216AT,6225BL,906,34
6216AT,6217HG,429,38
6216AT,6226WC,883,182
6216AT,6222NG,826,184
6216AT,6218HG,552,86
6216AT,6212BP,1274,142
6216AT,6226XA,536,34
6216AT,6218SL,351,38
6216AT,6216PK,827,33
6216AT,6227GV,542,40
6216AT,6212GX,1175,186
6216AT,6229TL,550,34
6216AT,6218VT,389,32
6216AT,6213CN,789,36
6216AT,6218CZ,360,38
6216AT,6227BA,454,39
6216AT,6227TA,547,32
6216AT,6213CH,449,38
6216AT,6221BG,705,32
6216AT,6221HB,411,32
6216AT,6214RW,399,38
6216AT,6217BA,340,38
6216AT,6219BE,680,37
6216AT,6224KE,474,39
6216AT,6211LH,384,38
6216AT,6216CD,594,38
6216AT,6224GJ,412,32
6216AT,6221XW,465,39
6216AT,6217NZ,597,38
6216AT,6227VM,820,92
6216AT,6225XZ,571,32
6216AT,6224CC,686,38
6216AT,6212AV,617,37
6216AT,6222SH,622,39
6216AT,6214RE,439,38
6216AT,6215GD,652,40
6216AT,6215SR,634,35
6216AT,6227BR,555,34
6216AT,6222CE,555,34
6216AT,6224AN,803,39
6216AT,6216CA,558,31
6216AT,6216PC,759,33
6216AT,6221TK,390,38
6216AT,6227AZ,445,39
6216AT,6227CG,512,39
6216AT,6227HB,455,39
6216AT,6227RC,602,38
6216AT,6215PK,608,35
6216AT,6216TJ,700,35
6216AT,6218CC,330,38
6216AT,6211JG,566,34
6216AT,6226HJ,1235,40
6216AT,6224LS,831,40
6216AT,6228EN,643,39
6216AT,6228HH,691,39
6216AT,6224BH,704,38
6216AT,6211HM,788,40
6216AT,6217VZ,367,38
6216AT,6211EL,638,38
6216AT,6221TT,499,38
6216AT,6224XM,496,39
6216AT,6216VX,410,37
6216AT,6226XC,649,39
6216AT,6212EB,471,37
6216AT,6224GA,510,34
6216AT,6217BV,367,38
6216AT,6213CK,445,39
6216AT,6225AB,995,38
6216AT,6212EJ,964,33
6216AT,6211BS,635,88
6216AT,6224JJ,414,38
6216AT,6211HT,598,38
6216AT,6224AX,490,39
6216AT,6216VP,274,37
6216AT,6215XG,995,35
6216AT,6225GB,769,60
6216AT,6217LS,573,38
6216AT,6228AT,491,39
6216AT,6224AZ,447,39
6216AT,6219BG,764,40
6216AT,6226BP,681,39
6216AT,6218GM,649,35
6216AT,6229BG,539,36
6216AT,6225AD,702,39
6216AT,6228CB,674,32
6216AT,6218VH,344,38
6216AT,6224TE,451,39
6216AT,6228EA,495,39
6216AT,6211BC,685,134
6216AT,6222BV,465,38
6216AT,6218XD,397,38
6216AT,6217XH,425,38
6216AT,6226VP,520,39
6216AT,6212GP,730,185
6216AT,6215KM,588,33
6216AT,6217HV,433,38
6216AT,6222BH,407,39
6216AT,6212NL,739,35
6216AT,6219BB,636,40
6216AT,6221JN,482,38
6216AT,6226GL,421,31
6216AT,6227GE,460,32
6216AT,6222NA,610,39
6216AT,6213HD,698,40
6216AT,6227GK,468,32
6216AT,6217JL,541,38
6216AT,6216XR,497,37
6216AT,6215XS,1105,192
6216AT,6226CW,574,38
6216AT,6211RR,661,38
6216AT,6224DD,486,39
6216AT,6227VJ,356,37
6216AT,6221XA,718,41
6216AT,6224BP,686,38
6216AT,6218XB,348,38
6216AT,6229VS,525,39
6216AT,6217XN,427,38
6216AT,6229WZ,543,39
6216AT,6224KL,438,38
6216AT,6214TJ,453,38
6216AT,6223CM,592,32
6216AT,6223AE,492,39
6216AT,6213CV,725,34
6216AT,6222BJ,407,39
6216AT,6224TX,499,38
6216AT,6229EG,435,34
6216AT,6211HA,414,38
6216AT,6227ES,459,39
6216AT,6229VZ,568,36
6216AT,6222XR,501,39
6216AT,6211CM,511,37
6216AT,6222TD,484,34
6216AT,6211PN,588,38
6216AT,6214VZ,844,40
6216AT,6213BK,581,35
6216AT,6228JB,627,39
6216AT,6226XB,502,39
6216AT,6221XL,617,38
6216AT,6218XC,350,38
6216AT,6226DL,609,38
6216AT,6221TX,382,38
6216AT,6226VM,517,39
6216AT,6221HA,414,38
6216AT,6224XB,475,39
6216AT,6229AZ,447,39
6216AT,6229XA,545,32
6216AT,6221VA,428,38
6216AT,6223GD,443,37
6216AT,6221XD,711,36
6216AT,6218AW,369,33
6216AT,6216PZ,787,33
6216AT,6225KN,996,39
6216AT,6216NT,619,35
6216AT,6213EX,1286,35
6216AT,6222XS,449,39
6216AT,6229BN,503,39
6216AT,6225JK,764,36
6216AT,6212BR,1311,185
6216AT,6211KW,438,38
6216AT,6218VG,382,38
6216AT,6218SG,404,37
6216AT,6214XK,1050,40
6216AT,6221BP,658,37
6216AT,6226AV,590,39
6216AT,6227BV,531,38
6216AT,6211LX,409,39
6216AT,6216XS,512,37
6216AT,6222XE,525,39
6216AT,6215GC,551,40
6216AT,6217VJ,409,38
6216AT,6224KG,420,39
6216AT,6218RM,330,38
6216AT,6224JK,682,45
6216AT,6219CZ,723,39
6216AT,6226EM,438,38
6216AT,6223BC,420,39
6216AT,6224XV,465,39
6216AT,6228ES,525,39
6216AT,6227AD,549,38
6216AT,6227EL,483,39
6216AT,6218HB,630,40
6216AT,6228JV,392,40
6216AT,6225JN,881,36
6216AT,6221ER,596,38
6216AT,6228GK,579,32
6216AT,6218AT,367,37
6216AT,6224JB,516,39
6216AT,6211SN,580,38
6216AT,6224TP,494,39
6216AT,6224LX,489,38
6216AT,6216TG,669,40
6216AT,6226AB,487,38
6216AT,6229TG,504,39
6216AT,6229VE,761,47
6216AT,6222XT,524,39
6216AT,6222EH,409,38
6216AT,6217BC,345,38
6216AT,6227VK,854,145
6216AT,6211SJ,538,175
6216AT,6225CD,778,59
6216AT,6216SR,675,37
6216AT,6216SG,413,37
6216AT,6215VG,713,35
6216AT,6211AL,667,38
6216AT,6224JP,447,39
6216AT,6217NK,452,38
6216AT,6222BC,455,39
6216AT,6227SP,484,34
6216AT,6225AN,857,104
6216AT,6212GT,697,52
6216AT,6215TD,720,33
6216AT,6223AV,410,39
6216AT,6211EN,531,34
6216AT,6217KB,522,38
6216AT,6227SG,615,39
6216AT,6226AX,638,32
6216AT,6227BX,562,34
6216AT,6222TE,505,32
6216AT,6222XP,464,39
6216AT,6214PC,491,37
6216AT,6214TE,436,38
6216AT,6215TR,626,35
6216AT,6229BH,493,39
6216AT,6218CP,378,37
6216AT,6214SJ,414,38
6216AT,6228SC,536,37
6216AT,6224EW,476,38
6216AT,6218AZ,362,38
6216AT,6219AE,635,26
6216AT,6223BG,474,39
6216AT,6214AA,497,18
6216AT,6217JM,575,23
6216AT,6213AM,617,40
6216AT,6211LM,417,38
6216AT,6217KT,543,131
6216AT,6227AT,566,137
6216AT,6227XJ,729,232
6216AT,6222SJ,451,39
6216AT,6211JM,707,185
6216AT,6215TE,631,33
6216AT,6219BW,615,40
6216AT,6221CG,648,25
6216AT,6219AS,652,30
6216AT,6219AN,633,39
6216AT,6216RG,568,22
6216AT,6216CT,542,22
6216AT,6216EP,568,16
6216AT,6227VE,844,144
6216AT,6217AK,368,37
6216AT,6221GB,564,17
6216AT,6227VD,843,26
6216AT,6211CR,530,133
6216AT,6216PV,798,28
6216AT,6226CR,462,39
6216AT,6216XH,328,37
6216AT,6227GJ,435,39
6216AT,6223BJ,438,39
6216AT,6225GP,615,25
6216AT,6211EM,596,19
6216AT,6216SP,669,28
6216AT,6221JD,397,38
6216AT,6225DG,865,133
6216AT,6227EG,530,34
6216AT,6212AE,606,37
6216AT,6216TC,709,33
6216AT,6229HD,479,39
6216AT,6221GK,410,38
6216AT,6224XD,456,39
6216AT,6223CT,531,37
6216AT,6222EB,502,39
6216AT,6211KG,749,28
6216AT,6211PD,473,25
6216AT,6224VB,502,39
6216AT,6224KZ,487,34
6216AT,6215SH,822,29
6216AT,6216AS,512,169
6216AT,6216AJ,560,33
6216AT,6218GH,934,26
6216AT,6221AX,715,132
6216AT,6214AT,459,34
6216AT,6211GB,491,38
6216AT,6221CK,702,132
6216AT,6223GB,479,32
6216AT,6211AW,575,23
6216AT,6217JP,570,22
6216AT,6213GB,520,25
6216AT,6214SG,407,38
6216AT,6224HV,413,38
6216AT,6217HW,456,23
6216AT,6221XE,732,23
6216AT,6218BZ,313,36
6216AT,6211LG,390,36
6216AT,6216VT,383,37
6216AT,6219AZ,645,34
6216AT,6225HK,805,188
6216AT,6218VW,358,38
6216AT,6219BK,686,30
6216AT,6214TW,440,32
6216AT,6212AM,1102,181
6216AT,6228EM,454,39
6216AT,6223HB,523,39
6216AT,6216XP,532,37
6216AT,6221VZ,680,25
6216AT,6217AV,403,24
6216AT,6227GM,481,39
6216AT,6214TB,420,38
6216AT,6211GC,488,23
6216AT,6229HB,498,39
6216AT,6222WJ,454,39
6216AT,6227AS,456,24
6216AT,6229WP,533,39
6216AT,6219NM,693,20
6216AT,6226GC,458,39
6216AT,6226XK,521,39
6216AT,6227GT,477,39
6216AT,6221AW,754,132
6216AT,6216SM,651,40
6216AT,6213KE,946,28
6216AT,6226ED,494,38
6216AT,6227TE,560,39
6216AT,6211NE,417,38
6216AT,6223AG,440,39
6216AT,6224GK,431,38
6216AT,6214TD,456,23
6216AT,6213BL,591,35
6216AT,6212XB,431,37
6216AT,6211JX,1057,181
6216AT,6227HD,466,39
6216AT,6225GG,771,57
6216AT,6214RT,388,38
6216AT,6217LX,432,38
6216AT,6211MZ,442,38
6216AT,6215ES,580,35
6216AT,6214RB,453,38
6216AT,6215PZ,586,33
6216AT,6217KJ,467,38
6216AT,6215SZ,721,41
6216AT,6223BM,405,39
6216AT,6211JB,426,38
6216AT,6223ED,719,23
6216AT,6225AA,983,233
6216AT,6217KZ,543,23
6216AT,6217XG,383,38
6216AT,6214TK,458,38
6216AT,6226GT,583,22
6216AT,6229ZC,575,37
6216AT,6228HW,560,39
6216AT,6216RN,838,148
6216AT,6218CK,348,38
6216AT,6226XE,509,34
6216AT,6226BG,453,36
6216AT,6224TW,515,37
6216AT,6211RT,506,38
6216AT,6227TL,618,25
6216AT,6227XN,809,25
6216AT,6211HH,145,38
6216AT,6211XB,622,177
6216AT,6215KL,579,32
6216AT,6226VR,466,39
6216AT,6221GG,436,39
6216AT,6227RP,666,25
6216AT,6222BN,449,39
6216AT,6211HZ,693,146
6216AT,6219BV,573,40
6216AT,6216BL,339,37
6216AT,6218CM,346,38
6216AT,6223CS,426,39
6216AT,6211BG,677,25
6216AT,6221EN,513,25
6216AT,6213GA,422,38
6216AT,6228AX,481,39
6216AT,6218AV,327,37
6216AT,6218AL,348,38
6216AT,6224BK,661,24
6216AT,6218CW,361,38
6216AT,6216TN,570,40
6216AT,6224GT,425,39
6216AT,6216RS,546,22
6216AT,6218GT,598,40
6216AT,6222XX,465,39
6216AT,6215TA,594,40
