postal_Code_start,postal_code_end,time
6216AT,6228JC,2564
6216AT,6212GN,2063
6216AT,6211BH,958
6216AT,6227XV,1130
6216AT,6217AT,547
6216AT,6229HH,725
6216AT,6225GT,1185
6216AT,6228SJ,1007
6216AT,6226HN,744
6216AT,6216PT,1350
6216AT,6215TX,1118
6216AT,6225KM,1135
6216AT,6217HC,636
6216AT,6215GG,840
6216AT,6211XK,731
6216AT,6225GM,1164
6216AT,6217XC,508
6216AT,6224CD,834
6216AT,6211CB,783
6216AT,6225BH,998
6216AT,6224KW,660
6216AT,6226BN,583
6216AT,6221GD,518
6216AT,6222TW,1079
6216AT,6226HL,654
6216AT,6211JV,949
6216AT,6225DD,2566
6216AT,6217KG,1633
6216AT,6221CL,1889
6216AT,6211LN,1248
6216AT,6211LV,1541
6216AT,6223CH,2170
6216AT,6215RH,1899
6216AT,6221TS,1461
6216AT,6225BL,2754
6216AT,6217HG,1408
6216AT,6226WC,3265
6216AT,6222NG,2874
6216AT,6218HG,1304
6216AT,6212BP,1772
6216AT,6226XA,747
6216AT,6218SL,627
6216AT,6216PK,1159
6216AT,6227GV,689
6216AT,6212GX,1721
6216AT,6229TL,716
6216AT,6218VT,445
6216AT,6213CN,1105
6216AT,6218CZ,538
6216AT,6227BA,640
6216AT,6227TA,936
6216AT,6213CH,969
6216AT,6221BG,924
6216AT,6221HB,717
6216AT,6214RW,847
6216AT,6217BA,588
6216AT,6219BE,1519
6216AT,6224KE,726
6216AT,6211LH,729
6216AT,6216CD,1135
6216AT,6224GJ,761
6216AT,6221XW,660
6216AT,6217NZ,755
6216AT,6227VM,1418
6216AT,6225XZ,862
6216AT,6224CC,973
6216AT,6212AV,810
6216AT,6222SH,987
6216AT,6214RE,639
6216AT,6215GD,1100
6216AT,6215SR,854
6216AT,6227BR,783
6216AT,6222CE,1051
6216AT,6224AN,920
6216AT,6216CA,775
6216AT,6216PC,1067
6216AT,6221TK,580
6216AT,6227AZ,832
6216AT,6227CG,838
6216AT,6227HB,787
6216AT,6227RC,904
6216AT,6215PK,1091
6216AT,6216TJ,989
6216AT,6218CC,507
6216AT,6211JG,968
6216AT,6226HJ,679
6216AT,6224LS,768
6216AT,6228EN,738
6216AT,6228HH,693
6216AT,6224BH,1062
6216AT,6211HM,1007
6216AT,6217VZ,730
6216AT,6211EL,1009
6216AT,6221TT,674
6216AT,6224XM,923
6216AT,6216VX,609
6216AT,6226XC,1087
6216AT,6212EB,586
6216AT,6224GA,721
6216AT,6217BV,556
6216AT,6213CK,717
6216AT,6225AB,1340
6216AT,6212EJ,1314
6216AT,6211BS,777
6216AT,6224JJ,677
6216AT,6211HT,955
6216AT,6224AX,1149
6216AT,6216VP,449
6216AT,6215XG,1320
6216AT,6225GB,1092
6216AT,6217LS,693
6216AT,6228AT,665
6216AT,6224AZ,1074
6216AT,6219BG,1523
6216AT,6226BP,1236
6216AT,6218GM,2367
6216AT,6229BG,1727
6216AT,6225AD,2466
6216AT,6228CB,1990
6216AT,6218VH,1282
6216AT,6224TE,1493
6216AT,6228EA,1830
6216AT,6211BC,2258
6216AT,6222BV,1468
6216AT,6218XD,1045
6216AT,6217XH,1447
6216AT,6226VP,1413
6216AT,6212GP,3676
6216AT,6215KM,2101
6216AT,6217HV,1240
6216AT,6222BH,2167
6216AT,6212NL,2183
6216AT,6219BB,2889
6216AT,6221JN,1453
6216AT,6226GL,1402
6216AT,6227GE,1471
6216AT,6222NA,1838
6216AT,6213HD,2298
6216AT,6227GK,1711
6216AT,6217JL,1771
6216AT,6216XR,1608
6216AT,6215XS,3353
6216AT,6226CW,1416
6216AT,6211RR,1688
6216AT,6224DD,1413
6216AT,6227VJ,1026
6216AT,6221XA,2285
6216AT,6224BP,2625
6216AT,6218XB,1148
6216AT,6229VS,1679
6216AT,6217XN,1447
6216AT,6229WZ,1808
6216AT,6224KL,1167
6216AT,6214TJ,1576
6216AT,6223CM,2037
6216AT,6223AE,1794
6216AT,6213CV,3348
6216AT,6222BJ,1572
6216AT,6224TX,1557
6216AT,6229EG,1267
6216AT,6211HA,1250
6216AT,6227ES,1630
6216AT,6229VZ,1807
6216AT,6222XR,2355
6216AT,6211CM,1614
6216AT,6222TD,2618
6216AT,6211PN,1631
6216AT,6214VZ,3942
6216AT,6213BK,2555
6216AT,6228JB,1717
6216AT,6226XB,1432
6216AT,6221XL,1797
6216AT,6218XC,1073
6216AT,6226DL,1948
6216AT,6221TX,1388
6216AT,6226VM,1749
6216AT,6221HA,1141
6216AT,6224XB,1943
6216AT,6229AZ,1592
6216AT,6229XA,1762
6216AT,6221VA,1289
6216AT,6223GD,1726
6216AT,6221XD,2102
6216AT,6218AW,1256
6216AT,6216PZ,2007
6216AT,6225KN,2951
6216AT,6216NT,1844
6216AT,6213EX,4107
6216AT,6222XS,2463
6216AT,6229BN,1480
6216AT,6225JK,2367
6216AT,6212BR,3563
6216AT,6211KW,1360
6216AT,6218VG,1060
6216AT,6218SG,1199
6216AT,6214XK,5869
6216AT,6221BP,2160
6216AT,6226AV,1825
6216AT,6227BV,1706
6216AT,6211LX,1399
6216AT,6216XS,1155
6216AT,6222XE,2902
